trial_id,estimator,shift,trt_change,gamma2_m,sigma2_m,sigma_ratio,sigma2_ratio
3,chi_DRj,Linear Covariate Shift,Constant,1.0795239133971742e-22,0,0,0
3,chi_DRj,Linear Covariate Shift,Effect Modification,2.141655411397701e-4,0,0,0
3,chi_DRj,Linear Covariate Shift,Linear,1.535260507170076e-22,3.581142857142857e-4,0.9999999993738976,1
3,chi_DRj,Linear Covariate Shift,Linear + Effect Modification,2.1562587160140606e-4,3.5811428571428647e-4,0.563097745307561,0.6242088970573917
3,chi_DRj,Linear Covariate Shift,Spline,1.0197447801020572e-22,3.731716749843205e-4,0.9999999994874029,1
3,chi_DRj,Linear Covariate Shift,Spline + Effect Modification,2.1166290837576252e-4,3.731716749843221e-4,0.5704414260614931,0.6381273719572083
3,chi_DRj,No Covariate Shift,Constant,1.3161192402345696e-22,0,0,0
3,chi_DRj,No Covariate Shift,Effect Modification,1.2656648799842344e-22,0,0,0
3,chi_DRj,No Covariate Shift,Linear,9.115126293587993e-23,3.5811428571428565e-4,0.9999999995070277,1
3,chi_DRj,No Covariate Shift,Linear + Effect Modification,1.3687457944517487e-22,3.581142857142868e-4,0.999999999399771,1
3,chi_DRj,No Covariate Shift,Spline,2.3007461914213137e-22,3.7317167498432055e-4,0.9999999992984936,1
3,chi_DRj,No Covariate Shift,Spline + Effect Modification,1.0287041511928664e-22,3.731716749843221e-4,0.9999999994938019,1
3,chi_gformula,Flexible Covariate Shift,Constant,0,0,0,0
3,chi_gformula,Flexible Covariate Shift,Effect Modification,0.0013660792119521352,0,0,0
3,chi_gformula,Flexible Covariate Shift,Linear,0,3.581142857142859e-4,1,1
3,chi_gformula,Flexible Covariate Shift,Linear + Effect Modification,0.0013480032240271301,3.581142857142866e-4,0.34012738985287577,0.2099169266526214
3,chi_gformula,Flexible Covariate Shift,Spline,0,3.731716749843202e-4,1,1
3,chi_gformula,Flexible Covariate Shift,Spline + Effect Modification,0.0013604779695961084,3.731716749843222e-4,0.34372822705064016,0.21527625284766352
3,chi_gformula,Linear Covariate Shift,Constant,0,0,0,0
3,chi_gformula,Linear Covariate Shift,Effect Modification,2.1416554114294482e-4,0,0,0
3,chi_gformula,Linear Covariate Shift,Linear,0,3.581142857142859e-4,1,1
3,chi_gformula,Linear Covariate Shift,Linear + Effect Modification,2.156258715930139e-4,3.581142857142865e-4,0.5630977453124316,0.6242088970666457
3,chi_gformula,Linear Covariate Shift,Spline,0,3.731716749843202e-4,1,1
3,chi_gformula,Linear Covariate Shift,Spline + Effect Modification,2.1166290837935193e-4,3.7317167498432207e-4,0.5704414260592314,0.6381273719530248
3,chi_gformula,No Covariate Shift,Constant,0,0,0,0
3,chi_gformula,No Covariate Shift,Effect Modification,0,0,0,0
3,chi_gformula,No Covariate Shift,Linear,0,3.581142857142859e-4,1,1
3,chi_gformula,No Covariate Shift,Linear + Effect Modification,0,3.5811428571428663e-4,1,1
3,chi_gformula,No Covariate Shift,Spline,0,3.731716749843202e-4,1,1
3,chi_gformula,No Covariate Shift,Spline + Effect Modification,0,3.7317167498432234e-4,1,1
4,chi_DR,Flexible Covariate Shift,Constant,1.0688600163423312e-22,0,0,0
4,chi_DR,Flexible Covariate Shift,Effect Modification,8.881616561630414e-4,0,0,0
4,chi_DR,Flexible Covariate Shift,Linear,3.2254908307001304e-4,6.442992026855527e-7,0.03830478983283708,0.0020193303266593924
4,chi_DR,Flexible Covariate Shift,Linear + Effect Modification,0.00207075700812836,1.020192564278353e-8,0.0016574759570830162,4.929718253470521e-6
4,chi_DR,Flexible Covariate Shift,Spline,2.7113332279107664e-4,1.1043496432641438e-6,0.04369198677369711,0.003991540102957687
4,chi_DR,Flexible Covariate Shift,Spline + Effect Modification,0.0020848239797593366,2.1303756771256263e-8,0.002589748867413126,1.0201491355105498e-5
